texto_machista,texto_inclusivo,nivel,subcategoria,pais,contexto,marcadores_linguisticos,explicacion
¿Ya hiciste tu trabajito?,Tu trabajo es excelente,micromachismos,infantilizacion,España,calle,['hiciste' 'trabajito?'],Trata como niña o incapaz
"Chiquita preciosa, ostras",Tu trabajo es excelente,micromachismos,infantilizacion,España,social,"['chiquita' 'preciosa,' 'ostras']",Trata como niña o incapaz
"Ay mi niña déjame ayudarte, así que",¿Necesitas apoyo?,micromachismos,infantilizacion,España,calle,"['niña' 'déjame' 'ayudarte,']",Trata como niña o incapaz
Chiquita preciosa colega,Tu trabajo es excelente,micromachismos,infantilizacion,España,citas,['chiquita' 'preciosa' 'colega'],Trata como niña o incapaz
Mi niña linda eso es difícil ostras,Confío en tu capacidad,micromachismos,infantilizacion,España,social,['niña' 'linda' 'difícil' 'ostras'],Trata como niña o incapaz
Mi niña es muy técnico,¿Te ayudo?,micromachismos,infantilizacion,España,familia,['niña' 'técnico'],Trata como niña o incapaz
"Bebé eso requiere fuerza, venga",Buen trabajo,micromachismos,infantilizacion,España,redes_sociales,"['bebé' 'requiere' 'fuerza,' 'venga']",Trata como niña o incapaz
"Mi niña es muy técnico, tío, pues",¿Necesitas apoyo?,micromachismos,infantilizacion,España,calle,"['niña' 'técnico,' 'tío,' 'pues']",Trata como niña o incapaz
"Venga, mi niña es muy técnico",¿Cómo va tu proyecto?,micromachismos,infantilizacion,España,redes_sociales,"['venga,' 'niña' 'técnico']",Trata como niña o incapaz
Eres una niña aplicada macho,¿Cómo va tu proyecto?,micromachismos,infantilizacion,España,citas,['eres' 'niña' 'aplicada' 'macho'],Trata como niña o incapaz
"Vamos, cosita linda puedes lastimarte",¿Necesitas apoyo?,micromachismos,infantilizacion,España,citas,"['vamos,' 'cosita' 'linda' 'puedes']",Trata como niña o incapaz
"¿Ya hiciste tu trabajito?, tío",Buen trabajo,micromachismos,infantilizacion,España,social,"['hiciste' 'trabajito?,']",Trata como niña o incapaz
Mi niña es complejo joder,Buen trabajo,micromachismos,infantilizacion,España,redes_sociales,['niña' 'complejo' 'joder'],Trata como niña o incapaz
"Colega, mi niña linda eso es difícil",¿Te ayudo?,micromachismos,infantilizacion,España,pareja,"['colega,' 'niña' 'linda' 'difícil']",Trata como niña o incapaz
"Tío, chiquita preciosa",Tu trabajo es excelente,micromachismos,infantilizacion,España,educativo,"['tío,' 'chiquita' 'preciosa']",Trata como niña o incapaz
"Macho, eres una niña aplicada, o sea",¿Necesitas apoyo?,micromachismos,infantilizacion,España,redes_sociales,"['macho,' 'eres' 'niña' 'aplicada,']",Trata como niña o incapaz
Chiquita mejor pide ayuda,Tu trabajo es excelente,micromachismos,infantilizacion,España,familia,['chiquita' 'mejor' 'pide' 'ayuda'],Trata como niña o incapaz
Mi niña eso es de grandes,¿Cómo va tu proyecto?,micromachismos,infantilizacion,España,citas,['niña' 'grandes'],Trata como niña o incapaz
"Vamos, mi niña es complejo venga",Tu trabajo es excelente,micromachismos,infantilizacion,España,calle,"['vamos,' 'niña' 'complejo' 'venga']",Trata como niña o incapaz
"Venga, nena déjame hacerlo",Confío en tu capacidad,micromachismos,infantilizacion,España,calle,"['venga,' 'nena' 'déjame' 'hacerlo']",Trata como niña o incapaz
"Macho, chiquita mejor pide ayuda",Confío en tu capacidad,micromachismos,infantilizacion,España,laboral,"['macho,' 'chiquita' 'mejor' 'pide']",Trata como niña o incapaz
"Macho, nena déjame hacerlo, mira",Tu trabajo es excelente,micromachismos,infantilizacion,España,redes_sociales,"['macho,' 'nena' 'déjame' 'hacerlo,']",Trata como niña o incapaz
"Joder, chiquita preciosa",Confío en tu capacidad,micromachismos,infantilizacion,España,pareja,"['joder,' 'chiquita' 'preciosa']",Trata como niña o incapaz
"Colega, ¿ya hiciste tu trabajito? joder",¿Te ayudo?,micromachismos,infantilizacion,España,citas,"['colega,' 'hiciste' 'trabajito?' 'joder']",Trata como niña o incapaz
"Tío, mi niña es muy técnico joder, porque",Buen trabajo,micromachismos,infantilizacion,España,calle,"['tío,' 'niña' 'técnico' 'joder,']",Trata como niña o incapaz
Ay mi niña déjame ayudarte,¿Cómo va tu proyecto?,micromachismos,infantilizacion,España,familia,['niña' 'déjame' 'ayudarte'],Trata como niña o incapaz
"Venga, chiquita eso es complicado, joder",¿Cómo va tu proyecto?,micromachismos,infantilizacion,España,citas,"['venga,' 'chiquita' 'complicado,' 'joder']",Trata como niña o incapaz
"Mi niña es muy técnico, pues",¿Cómo va tu proyecto?,micromachismos,infantilizacion,España,redes_sociales,"['niña' 'técnico,' 'pues']",Trata como niña o incapaz
"Tío, chiquita eso es complicado",¿Necesitas apoyo?,micromachismos,infantilizacion,España,redes_sociales,"['tío,' 'chiquita' 'complicado']",Trata como niña o incapaz
Mi niña es muy técnico ostras,Buen trabajo,micromachismos,infantilizacion,España,laboral,['niña' 'técnico' 'ostras'],Trata como niña o incapaz
"Nena déjame hacerlo, ostras",Tu trabajo es excelente,micromachismos,infantilizacion,España,familia,"['nena' 'déjame' 'hacerlo,' 'ostras']",Trata como niña o incapaz
"Macho, mi niña es complejo macho",¿Necesitas apoyo?,micromachismos,infantilizacion,España,familia,"['macho,' 'niña' 'complejo' 'macho']",Trata como niña o incapaz
"Nena déjame hacerlo, tía",¿Cómo va tu proyecto?,micromachismos,infantilizacion,España,social,"['nena' 'déjame' 'hacerlo,']",Trata como niña o incapaz
"Ostras, ¿ya hiciste tu trabajito?",Confío en tu capacidad,micromachismos,infantilizacion,España,redes_sociales,"['ostras,' 'hiciste' 'trabajito?']",Trata como niña o incapaz
"Tía, princesa no es para ti",¿Necesitas apoyo?,micromachismos,infantilizacion,España,calle,"['tía,' 'princesa' 'para']",Trata como niña o incapaz
"¿Ya hiciste tu trabajito?, así que",Buen trabajo,micromachismos,infantilizacion,España,educativo,"['hiciste' 'trabajito?,']",Trata como niña o incapaz
Mi niña es muy técnico colega,Confío en tu capacidad,micromachismos,infantilizacion,España,calle,['niña' 'técnico' 'colega'],Trata como niña o incapaz
"Colega, pequeña mejor déjame tío",¿Te ayudo?,micromachismos,infantilizacion,España,calle,"['colega,' 'pequeña' 'mejor' 'déjame']",Trata como niña o incapaz
"Ay mi niña déjame ayudarte, ya que",¿Te ayudo?,micromachismos,infantilizacion,España,educativo,"['niña' 'déjame' 'ayudarte,']",Trata como niña o incapaz
"Mi niña es muy técnico, joder",Tu trabajo es excelente,micromachismos,infantilizacion,España,calle,"['niña' 'técnico,' 'joder']",Trata como niña o incapaz
Mi niña es complejo,Buen trabajo,micromachismos,infantilizacion,España,redes_sociales,['niña' 'complejo'],Trata como niña o incapaz
Eres una niña aplicada joder,¿Cómo va tu proyecto?,micromachismos,infantilizacion,España,citas,['eres' 'niña' 'aplicada' 'joder'],Trata como niña o incapaz
"Vamos, ¿ya hiciste tu trabajito? joder",Confío en tu capacidad,micromachismos,infantilizacion,España,redes_sociales,"['vamos,' 'hiciste' 'trabajito?' 'joder']",Trata como niña o incapaz
Pequeña mejor déjame joder,¿Te ayudo?,micromachismos,infantilizacion,España,pareja,['pequeña' 'mejor' 'déjame' 'joder'],Trata como niña o incapaz
Nena déjame hacerlo venga,Confío en tu capacidad,micromachismos,infantilizacion,España,laboral,['nena' 'déjame' 'hacerlo' 'venga'],Trata como niña o incapaz
"Mi niña linda eso es difícil, joder",¿Necesitas apoyo?,micromachismos,infantilizacion,España,redes_sociales,"['niña' 'linda' 'difícil,' 'joder']",Trata como niña o incapaz
Mi niña linda eso es difícil,Buen trabajo,micromachismos,infantilizacion,España,redes_sociales,['niña' 'linda' 'difícil'],Trata como niña o incapaz
"Ay mi niña déjame ayudarte colega, mira",Confío en tu capacidad,micromachismos,infantilizacion,España,educativo,"['niña' 'déjame' 'ayudarte' 'colega,']",Trata como niña o incapaz
"Macho, mi niña es complejo",¿Te ayudo?,micromachismos,infantilizacion,España,redes_sociales,"['macho,' 'niña' 'complejo']",Trata como niña o incapaz
"Mi niña linda eso es difícil, pues",¿Necesitas apoyo?,micromachismos,infantilizacion,España,laboral,"['niña' 'linda' 'difícil,' 'pues']",Trata como niña o incapaz
Eres una niña aplicada colega,¿Cómo va tu proyecto?,micromachismos,infantilizacion,España,citas,['eres' 'niña' 'aplicada' 'colega'],Trata como niña o incapaz
"Ostras, chiquita eso es complicado, tío",¿Te ayudo?,micromachismos,infantilizacion,España,pareja,"['ostras,' 'chiquita' 'complicado,']",Trata como niña o incapaz
"Chiquita preciosa, joder",¿Te ayudo?,micromachismos,infantilizacion,España,redes_sociales,"['chiquita' 'preciosa,' 'joder']",Trata como niña o incapaz
Eres una niña aplicada tío,¿Cómo va tu proyecto?,micromachismos,infantilizacion,España,pareja,['eres' 'niña' 'aplicada'],Trata como niña o incapaz
"Joder, chiquita eso es complicado",¿Cómo va tu proyecto?,micromachismos,infantilizacion,España,laboral,"['joder,' 'chiquita' 'complicado']",Trata como niña o incapaz
"Princesa no es para ti, ya que ostras",Buen trabajo,micromachismos,infantilizacion,España,redes_sociales,['princesa' 'para' 'ostras'],Trata como niña o incapaz
"Macho, chiquita eso es complicado",¿Necesitas apoyo?,micromachismos,infantilizacion,España,social,"['macho,' 'chiquita' 'complicado']",Trata como niña o incapaz
"Vamos, chiquita preciosa joder",Buen trabajo,micromachismos,infantilizacion,España,educativo,"['vamos,' 'chiquita' 'preciosa' 'joder']",Trata como niña o incapaz
"Colega, mi niña es muy técnico",¿Te ayudo?,micromachismos,infantilizacion,España,redes_sociales,"['colega,' 'niña' 'técnico']",Trata como niña o incapaz
"Mi niña eso es de grandes, joder",¿Te ayudo?,micromachismos,infantilizacion,España,laboral,"['niña' 'grandes,' 'joder']",Trata como niña o incapaz
Princesa no es para ti venga,Buen trabajo,micromachismos,infantilizacion,España,laboral,['princesa' 'para' 'venga'],Trata como niña o incapaz
Chiquita preciosa vamos,Buen trabajo,micromachismos,infantilizacion,España,educativo,['chiquita' 'preciosa' 'vamos'],Trata como niña o incapaz
"Joder, princesa no es para ti colega",¿Necesitas apoyo?,micromachismos,infantilizacion,España,calle,"['joder,' 'princesa' 'para' 'colega']",Trata como niña o incapaz
"Venga, chiquita eso es complicado",¿Te ayudo?,micromachismos,infantilizacion,España,pareja,"['venga,' 'chiquita' 'complicado']",Trata como niña o incapaz
"Colega, mi niña eso es de grandes",¿Necesitas apoyo?,micromachismos,infantilizacion,España,redes_sociales,"['colega,' 'niña' 'grandes']",Trata como niña o incapaz
"Vamos, ¿ya hiciste tu trabajito? vamos",Buen trabajo,micromachismos,infantilizacion,España,laboral,"['vamos,' 'hiciste' 'trabajito?' 'vamos']",Trata como niña o incapaz
"Tío, chiquita preciosa vamos",Confío en tu capacidad,micromachismos,infantilizacion,España,laboral,"['tío,' 'chiquita' 'preciosa' 'vamos']",Trata como niña o incapaz
"Pequeña mejor déjame, tío",¿Cómo va tu proyecto?,micromachismos,infantilizacion,España,familia,"['pequeña' 'mejor' 'déjame,']",Trata como niña o incapaz
"Tío, princesa no es para ti",Buen trabajo,micromachismos,infantilizacion,España,social,"['tío,' 'princesa' 'para']",Trata como niña o incapaz
"Mi niña es complejo, venga",¿Te ayudo?,micromachismos,infantilizacion,España,educativo,"['niña' 'complejo,' 'venga']",Trata como niña o incapaz
"Vamos, mi niña es muy técnico",¿Te ayudo?,micromachismos,infantilizacion,España,calle,"['vamos,' 'niña' 'técnico']",Trata como niña o incapaz
"Mi niña linda eso es difícil, o sea",¿Te ayudo?,micromachismos,infantilizacion,España,calle,"['niña' 'linda' 'difícil,']",Trata como niña o incapaz
"Colega, mi niña es muy técnico vamos",Tu trabajo es excelente,micromachismos,infantilizacion,España,citas,"['colega,' 'niña' 'técnico' 'vamos']",Trata como niña o incapaz
"Vamos, mi niña linda eso es difícil, joder, o sea",¿Te ayudo?,micromachismos,infantilizacion,España,pareja,"['vamos,' 'niña' 'linda' 'difícil,']",Trata como niña o incapaz
"Joder, chiquita mejor pide ayuda joder",Tu trabajo es excelente,micromachismos,infantilizacion,España,laboral,"['joder,' 'chiquita' 'mejor' 'pide']",Trata como niña o incapaz
"Tía, eres una niña aplicada",Tu trabajo es excelente,micromachismos,infantilizacion,España,citas,"['tía,' 'eres' 'niña' 'aplicada']",Trata como niña o incapaz
"Mi niña linda eso es difícil, porque",¿Necesitas apoyo?,micromachismos,infantilizacion,España,redes_sociales,"['niña' 'linda' 'difícil,' 'porque']",Trata como niña o incapaz
Eres una niña aplicada,¿Cómo va tu proyecto?,micromachismos,infantilizacion,España,redes_sociales,['eres' 'niña' 'aplicada'],Trata como niña o incapaz
"Macho, mi niña linda eso es difícil vamos",¿Necesitas apoyo?,micromachismos,infantilizacion,España,citas,"['macho,' 'niña' 'linda' 'difícil']",Trata como niña o incapaz
Nena déjame hacerlo tío,Confío en tu capacidad,micromachismos,infantilizacion,España,calle,['nena' 'déjame' 'hacerlo'],Trata como niña o incapaz
"Tío, mi niña eso es de grandes",Tu trabajo es excelente,micromachismos,infantilizacion,España,laboral,"['tío,' 'niña' 'grandes']",Trata como niña o incapaz
"Vamos, princesa no es para ti ostras",¿Te ayudo?,micromachismos,infantilizacion,España,laboral,"['vamos,' 'princesa' 'para' 'ostras']",Trata como niña o incapaz
"Macho, ¿ya hiciste tu trabajito? tío",Tu trabajo es excelente,micromachismos,infantilizacion,España,familia,"['macho,' 'hiciste' 'trabajito?']",Trata como niña o incapaz
Eres una niña aplicada venga,¿Te ayudo?,micromachismos,infantilizacion,España,social,['eres' 'niña' 'aplicada' 'venga'],Trata como niña o incapaz
"Tía, mi niña es complejo, pues",¿Cómo va tu proyecto?,micromachismos,infantilizacion,España,citas,"['tía,' 'niña' 'complejo,' 'pues']",Trata como niña o incapaz
"Mi niña es complejo, vamos",Confío en tu capacidad,micromachismos,infantilizacion,España,calle,"['niña' 'complejo,' 'vamos']",Trata como niña o incapaz
"Tía, mi niña es muy técnico, macho",Confío en tu capacidad,micromachismos,infantilizacion,España,social,"['tía,' 'niña' 'técnico,' 'macho']",Trata como niña o incapaz
"Joder, mi niña es muy técnico",¿Necesitas apoyo?,micromachismos,infantilizacion,España,redes_sociales,"['joder,' 'niña' 'técnico']",Trata como niña o incapaz
"Venga, mi niña es complejo",Tu trabajo es excelente,micromachismos,infantilizacion,España,educativo,"['venga,' 'niña' 'complejo']",Trata como niña o incapaz
"Colega, ¿ya hiciste tu trabajito?",Buen trabajo,micromachismos,infantilizacion,España,social,"['colega,' 'hiciste' 'trabajito?']",Trata como niña o incapaz
Chiquita mejor pide ayuda vamos,¿Cómo va tu proyecto?,micromachismos,infantilizacion,España,calle,['chiquita' 'mejor' 'pide' 'ayuda'],Trata como niña o incapaz
Princesa no es para ti vamos,Tu trabajo es excelente,micromachismos,infantilizacion,España,citas,['princesa' 'para' 'vamos'],Trata como niña o incapaz
"Venga, ¿ya hiciste tu trabajito?",Confío en tu capacidad,micromachismos,infantilizacion,España,social,"['venga,' 'hiciste' 'trabajito?']",Trata como niña o incapaz
"Chiquita mejor pide ayuda, o sea tía",¿Te ayudo?,micromachismos,infantilizacion,España,pareja,"['chiquita' 'mejor' 'pide' 'ayuda,']",Trata como niña o incapaz
"Macho, mi niña es muy técnico",Buen trabajo,micromachismos,infantilizacion,España,laboral,"['macho,' 'niña' 'técnico']",Trata como niña o incapaz
"Joder, eres la hostia de una niña aplicada",¿Cómo va tu proyecto?,micromachismos,infantilizacion,España,educativo,"['joder,' 'eres' 'hostia' 'niña']",Trata como niña o incapaz
"Venga, cosita linda puedes lastimarte ostras",¿Necesitas apoyo?,micromachismos,infantilizacion,España,redes_sociales,"['venga,' 'cosita' 'linda' 'puedes']",Trata como niña o incapaz
"Venga, chiquita mejor pide ayuda tío",¿Necesitas apoyo?,micromachismos,infantilizacion,España,redes_sociales,"['venga,' 'chiquita' 'mejor' 'pide']",Trata como niña o incapaz
"Mi niña es complejo, ostras",Buen trabajo,micromachismos,infantilizacion,España,redes_sociales,"['niña' 'complejo,' 'ostras']",Trata como niña o incapaz
"Joder, cosita linda puedes lastimarte",¿Cómo va tu proyecto?,micromachismos,infantilizacion,España,social,"['joder,' 'cosita' 'linda' 'puedes']",Trata como niña o incapaz
"Macho, bebé eso requiere fuerza",Buen trabajo,micromachismos,infantilizacion,España,citas,"['macho,' 'bebé' 'requiere' 'fuerza']",Trata como niña o incapaz
Cosita linda puedes lastimarte tío,Buen trabajo,micromachismos,infantilizacion,España,social,['cosita' 'linda' 'puedes' 'lastimarte'],Trata como niña o incapaz
Bebé eso requiere fuerza joder,Confío en tu capacidad,micromachismos,infantilizacion,España,social,['bebé' 'requiere' 'fuerza' 'joder'],Trata como niña o incapaz
"Ostras, eres la hostia de una niña aplicada macho",Tu trabajo es excelente,micromachismos,infantilizacion,España,familia,"['ostras,' 'eres' 'hostia' 'niña']",Trata como niña o incapaz
¿Ya hiciste tu trabajito? macho,Buen trabajo,micromachismos,infantilizacion,España,citas,['hiciste' 'trabajito?' 'macho'],Trata como niña o incapaz
"Colega, nena déjame hacerlo",Confío en tu capacidad,micromachismos,infantilizacion,España,familia,"['colega,' 'nena' 'déjame' 'hacerlo']",Trata como niña o incapaz
"Eres una niña aplicada ostras, pues",Confío en tu capacidad,micromachismos,infantilizacion,España,laboral,"['eres' 'niña' 'aplicada' 'ostras,']",Trata como niña o incapaz
"Eres bien una niña aplicada, vamos",¿Necesitas apoyo?,micromachismos,infantilizacion,España,pareja,"['eres' 'bien' 'niña' 'aplicada,']",Trata como niña o incapaz
"Tía, bebé eso requiere fuerza",¿Te ayudo?,micromachismos,infantilizacion,España,laboral,"['tía,' 'bebé' 'requiere' 'fuerza']",Trata como niña o incapaz
"Vamos, mi niña es complejo",Tu trabajo es excelente,micromachismos,infantilizacion,España,redes_sociales,"['vamos,' 'niña' 'complejo']",Trata como niña o incapaz
"Bebé eso requiere fuerza, tío",¿Cómo va tu proyecto?,micromachismos,infantilizacion,España,social,"['bebé' 'requiere' 'fuerza,']",Trata como niña o incapaz
"Ay mi niña déjame ayudarte, porque",¿Cómo va tu proyecto?,micromachismos,infantilizacion,España,educativo,"['niña' 'déjame' 'ayudarte,' 'porque']",Trata como niña o incapaz
"Tía, chiquita eso es complicado",¿Cómo va tu proyecto?,micromachismos,infantilizacion,España,pareja,"['tía,' 'chiquita' 'complicado']",Trata como niña o incapaz
¿Ya hiciste tu trabajito? joder,¿Cómo va tu proyecto?,micromachismos,infantilizacion,España,pareja,['hiciste' 'trabajito?' 'joder'],Trata como niña o incapaz
"Tío, nena déjame hacerlo colega",¿Cómo va tu proyecto?,micromachismos,infantilizacion,España,citas,"['tío,' 'nena' 'déjame' 'hacerlo']",Trata como niña o incapaz
"Ostras, mi niña es muy técnico",¿Cómo va tu proyecto?,micromachismos,infantilizacion,España,citas,"['ostras,' 'niña' 'técnico']",Trata como niña o incapaz
"Ostras, chiquita preciosa",¿Necesitas apoyo?,micromachismos,infantilizacion,España,social,"['ostras,' 'chiquita' 'preciosa']",Trata como niña o incapaz
"Princesa no es para ti, venga",¿Te ayudo?,micromachismos,infantilizacion,España,citas,['princesa' 'para' 'venga'],Trata como niña o incapaz
"Colega, mi niña linda eso es difícil tío",¿Necesitas apoyo?,micromachismos,infantilizacion,España,calle,"['colega,' 'niña' 'linda' 'difícil']",Trata como niña o incapaz
"Pequeña mejor déjame, entonces",Confío en tu capacidad,micromachismos,infantilizacion,España,social,"['pequeña' 'mejor' 'déjame,' 'entonces']",Trata como niña o incapaz
"Vamos, chiquita eso es complicado",¿Te ayudo?,micromachismos,infantilizacion,España,laboral,"['vamos,' 'chiquita' 'complicado']",Trata como niña o incapaz
"Mi niña es complejo, macho, o sea",Tu trabajo es excelente,micromachismos,infantilizacion,España,calle,"['niña' 'complejo,' 'macho,']",Trata como niña o incapaz
"Tío, pequeña mejor déjame, así que",Tu trabajo es excelente,micromachismos,infantilizacion,España,social,"['tío,' 'pequeña' 'mejor' 'déjame,']",Trata como niña o incapaz
"Macho, ay mi niña déjame ayudarte",Buen trabajo,micromachismos,infantilizacion,España,calle,"['macho,' 'niña' 'déjame' 'ayudarte']",Trata como niña o incapaz
"Venga, cosita linda puedes lastimarte",¿Necesitas apoyo?,micromachismos,infantilizacion,España,citas,"['venga,' 'cosita' 'linda' 'puedes']",Trata como niña o incapaz
"Mi niña eso es de grandes, colega",Confío en tu capacidad,micromachismos,infantilizacion,España,redes_sociales,"['niña' 'grandes,' 'colega']",Trata como niña o incapaz
"Colega, cosita linda puedes lastimarte",¿Necesitas apoyo?,micromachismos,infantilizacion,España,pareja,"['colega,' 'cosita' 'linda' 'puedes']",Trata como niña o incapaz
¿Ya hiciste tu trabajito? venga,Confío en tu capacidad,micromachismos,infantilizacion,España,citas,['hiciste' 'trabajito?' 'venga'],Trata como niña o incapaz
"Joder, ay mi niña déjame ayudarte",¿Cómo va tu proyecto?,micromachismos,infantilizacion,España,citas,"['joder,' 'niña' 'déjame' 'ayudarte']",Trata como niña o incapaz
"Chiquita eso es complicado, tío",Buen trabajo,micromachismos,infantilizacion,España,calle,"['chiquita' 'complicado,']",Trata como niña o incapaz
"Macho, nena déjame hacerlo",Confío en tu capacidad,micromachismos,infantilizacion,España,calle,"['macho,' 'nena' 'déjame' 'hacerlo']",Trata como niña o incapaz
"Venga, mi niña eso es de grandes",Tu trabajo es excelente,micromachismos,infantilizacion,España,social,"['venga,' 'niña' 'grandes']",Trata como niña o incapaz
"Colega, princesa no es para ti, colega",¿Necesitas apoyo?,micromachismos,infantilizacion,España,laboral,"['colega,' 'princesa' 'para' 'colega']",Trata como niña o incapaz
"Tía, mi niña eso es de grandes, colega",Tu trabajo es excelente,micromachismos,infantilizacion,España,laboral,"['tía,' 'niña' 'grandes,' 'colega']",Trata como niña o incapaz
"Chiquita mejor pide ayuda, ostras",Buen trabajo,micromachismos,infantilizacion,España,laboral,"['chiquita' 'mejor' 'pide' 'ayuda,']",Trata como niña o incapaz
"Ostras, chiquita mejor pide ayuda, ya que",Confío en tu capacidad,micromachismos,infantilizacion,España,laboral,"['ostras,' 'chiquita' 'mejor' 'pide']",Trata como niña o incapaz
"Mi niña linda eso es difícil, así que macho",¿Te ayudo?,micromachismos,infantilizacion,España,familia,"['niña' 'linda' 'difícil,' 'macho']",Trata como niña o incapaz
"Ostras, mi niña es complejo",¿Cómo va tu proyecto?,micromachismos,infantilizacion,España,familia,"['ostras,' 'niña' 'complejo']",Trata como niña o incapaz
"Joder, pequeña mejor déjame, macho",Buen trabajo,micromachismos,infantilizacion,España,calle,"['joder,' 'pequeña' 'mejor' 'déjame,']",Trata como niña o incapaz
"Nena déjame hacerlo, vamos",¿Necesitas apoyo?,micromachismos,infantilizacion,España,familia,"['nena' 'déjame' 'hacerlo,' 'vamos']",Trata como niña o incapaz
Pequeña mejor déjame tía,Buen trabajo,micromachismos,infantilizacion,España,calle,['pequeña' 'mejor' 'déjame'],Trata como niña o incapaz
"Ostras, eres una niña aplicada",Tu trabajo es excelente,micromachismos,infantilizacion,España,social,"['ostras,' 'eres' 'niña' 'aplicada']",Trata como niña o incapaz
"¿Ya hiciste tu trabajito?, macho",Confío en tu capacidad,micromachismos,infantilizacion,España,familia,"['hiciste' 'trabajito?,' 'macho']",Trata como niña o incapaz
"Joder, bebé eso requiere fuerza",¿Cómo va tu proyecto?,micromachismos,infantilizacion,España,citas,"['joder,' 'bebé' 'requiere' 'fuerza']",Trata como niña o incapaz
"Ostras, cosita linda puedes lastimarte venga",Tu trabajo es excelente,micromachismos,infantilizacion,España,laboral,"['ostras,' 'cosita' 'linda' 'puedes']",Trata como niña o incapaz
"Colega, mi niña eso es de grandes, mira, vamos",¿Te ayudo?,micromachismos,infantilizacion,España,familia,"['colega,' 'niña' 'grandes,' 'mira,']",Trata como niña o incapaz
Nena déjame hacerlo,Buen trabajo,micromachismos,infantilizacion,España,educativo,['nena' 'déjame' 'hacerlo'],Trata como niña o incapaz
"Princesa no es para ti, colega",¿Necesitas apoyo?,micromachismos,infantilizacion,España,familia,['princesa' 'para' 'colega'],Trata como niña o incapaz
"Joder, ay mi niña déjame ayudarte, vamos",¿Cómo va tu proyecto?,micromachismos,infantilizacion,España,citas,"['joder,' 'niña' 'déjame' 'ayudarte,']",Trata como niña o incapaz
"Tío, mi niña es muy técnico, ostras",Confío en tu capacidad,micromachismos,infantilizacion,España,pareja,"['tío,' 'niña' 'técnico,' 'ostras']",Trata como niña o incapaz
Cosita linda puedes lastimarte vamos,Tu trabajo es excelente,micromachismos,infantilizacion,España,laboral,['cosita' 'linda' 'puedes' 'lastimarte'],Trata como niña o incapaz
Ay mi niña déjame ayudarte tía,¿Necesitas apoyo?,micromachismos,infantilizacion,España,pareja,['niña' 'déjame' 'ayudarte'],Trata como niña o incapaz
Nena déjame hacerlo colega,Confío en tu capacidad,micromachismos,infantilizacion,España,pareja,['nena' 'déjame' 'hacerlo' 'colega'],Trata como niña o incapaz
¿Ya hiciste tu trabajito? tía,Buen trabajo,micromachismos,infantilizacion,España,redes_sociales,['hiciste' 'trabajito?'],Trata como niña o incapaz
"Cosita linda puedes lastimarte, macho",¿Necesitas apoyo?,micromachismos,infantilizacion,España,redes_sociales,"['cosita' 'linda' 'puedes' 'lastimarte,']",Trata como niña o incapaz
"Macho, princesa no es para ti",Tu trabajo es excelente,micromachismos,infantilizacion,España,educativo,"['macho,' 'princesa' 'para']",Trata como niña o incapaz
"Macho, mi niña linda eso es difícil",Tu trabajo es excelente,micromachismos,infantilizacion,España,educativo,"['macho,' 'niña' 'linda' 'difícil']",Trata como niña o incapaz
"Ostras, nena déjame hacerlo, mira",Tu trabajo es excelente,micromachismos,infantilizacion,España,redes_sociales,"['ostras,' 'nena' 'déjame' 'hacerlo,']",Trata como niña o incapaz
"Ostras, bebé eso requiere fuerza",Buen trabajo,micromachismos,infantilizacion,España,educativo,"['ostras,' 'bebé' 'requiere' 'fuerza']",Trata como niña o incapaz
"¿Ya hiciste tu trabajito?, colega",Tu trabajo es excelente,micromachismos,infantilizacion,España,educativo,"['hiciste' 'trabajito?,' 'colega']",Trata como niña o incapaz
Ay mi niña déjame ayudarte colega,¿Te ayudo?,micromachismos,infantilizacion,España,calle,['niña' 'déjame' 'ayudarte' 'colega'],Trata como niña o incapaz
"Chiquita eso es complicado, venga",¿Te ayudo?,micromachismos,infantilizacion,España,calle,"['chiquita' 'complicado,' 'venga']",Trata como niña o incapaz
"Colega, mi niña eso es de grandes, así que",Buen trabajo,micromachismos,infantilizacion,España,citas,"['colega,' 'niña' 'grandes,']",Trata como niña o incapaz
"Venga, chiquita mejor pide ayuda joder",¿Cómo va tu proyecto?,micromachismos,infantilizacion,España,social,"['venga,' 'chiquita' 'mejor' 'pide']",Trata como niña o incapaz
"Tía, chiquita preciosa",Buen trabajo,micromachismos,infantilizacion,España,laboral,"['tía,' 'chiquita' 'preciosa']",Trata como niña o incapaz
"Colega, pequeña mejor déjame",Buen trabajo,micromachismos,infantilizacion,España,citas,"['colega,' 'pequeña' 'mejor' 'déjame']",Trata como niña o incapaz
"Ostras, princesa no es para ti",Buen trabajo,micromachismos,infantilizacion,España,calle,"['ostras,' 'princesa' 'para']",Trata como niña o incapaz
"Vamos, chiquita mejor pide ayuda vamos",Buen trabajo,micromachismos,infantilizacion,España,redes_sociales,"['vamos,' 'chiquita' 'mejor' 'pide']",Trata como niña o incapaz
Chiquita eso es complicado joder,Buen trabajo,micromachismos,infantilizacion,España,social,['chiquita' 'complicado' 'joder'],Trata como niña o incapaz
"Vamos, ¿ya hiciste tu trabajito?, venga",¿Cómo va tu proyecto?,micromachismos,infantilizacion,España,redes_sociales,"['vamos,' 'hiciste' 'trabajito?,' 'venga']",Trata como niña o incapaz
